id,cuisine,review_count,rate,recommended
95a04LtXLX6gePhPEwff9A,mexican,302,4.5,
HqI1ROCmZa2THlBxT9nyrA,mexican,140,4.0,
_B0NHhM3GmirV68XE5csSA,mexican,39,4.0,
ykTNq1F-Vpfw4i4xGhPS0Q,mexican,28,4.5,
jHd7KHMvpI53bZyL9UGTug,mexican,11,3.0,
-kVueEw_fyO1Q2Gkmj6Few,mexican,301,4.5,
4QVG74AmkmhjE63-gwyWow,mexican,24,4.5,
VsqHs36uLxhqmjo60r1aJA,mexican,263,4.0,
mJVO64T1WWzJYvNlbLSQNA,mexican,22,4.0,
l0ZOGV9tohkpfHiZ-3XSRg,mexican,58,4.0,
wtQHeGI3L04xCJ5jODsRlg,mexican,440,3.0,
4YeKYQoZHCx2xkbjmNhMbA,mexican,184,4.0,
9yc2V6zNpLG58uPV_ykBog,mexican,234,4.0,
JnOYZqzRBHkEB_mvMXph_g,mexican,73,4.0,
EZ-ec_6fXPsZiDshbFMnjA,mexican,94,4.0,
OYLap8kSwmpGiYSZPl_GnQ,mexican,22,4.0,
9yTnfgbCENMZUUAlY1ym9g,mexican,327,3.5,
qLUH_0H8ct_DTSqrjwd3DQ,mexican,9,3.5,
SP4bvMvxel_UPdof_er3HA,mexican,451,4.5,
zVvEFNvlyBbQ6edjIE2gBg,mexican,643,3.0,
SUVMcqAwPHhcRMtfv_djRQ,mexican,333,4.5,
PZM0lwv0i0ZRpyzioRU8SA,mexican,90,3.5,
MHtbBc2np3sR7jiV9GphNg,mexican,406,4.0,
RGSjUKs-hNpCSafrFcU-VQ,mexican,227,4.0,
ONUgIihg-ROELPgKiWfs7A,mexican,96,4.0,
yqU1-chsjix3T4EMY2MyxA,mexican,183,4.0,
nY7jGZGMR7XA95t2uey2hA,mexican,145,3.5,
R4L19kfjFVoJoiRw_nXmqg,mexican,133,3.5,
TmVOi5Kl6OGXGPj8cn1XyQ,mexican,25,3.0,
sNVVV7fha8vjnLY3BlmH2Q,mexican,1,5.0,
jYRhiPw2qCSWxZTcp3DzIg,mexican,11,4.5,
jf95dOTlZB7oPWz9JLgaQA,mexican,16,4.5,
DpOhfKF92bZPqN9NPreTEg,mexican,98,4.0,
iaMuLypgQa8yaDWOOmlGVg,mexican,15,3.5,
MRF4bNFPAyHe2rMS1yZobg,mexican,103,3.0,
yZs_A8r0qDz7Z5bR0C-aiQ,mexican,879,4.0,
r3bwyyc48GoqIFYLd4gOXw,mexican,3,3.0,
x4W0rufd01dP8ieMhlTqmQ,mexican,48,3.5,
0zlhPoyRJs93yqJmOp3Nag,mexican,7,4.5,
Zk8UgB9MDoIHWFYgAxNlIQ,mexican,62,4.5,
-xa6FYrKd98HQaVDu96JyA,mexican,8,4.5,
njV8tFM7PivgDhWng_Lb6g,mexican,184,4.0,
KyOtOluTH8c8SICpf85thg,mexican,214,4.0,
JXcYD52B4190gIh6_RSXCg,mexican,755,4.5,
4c4Uwb5yUqXJ-inkcDinIg,mexican,259,4.0,
8DvAPUI0qP43rY_CD8YYZQ,mexican,64,3.5,
bwvd5ZwBTXdpCwJktU-P8g,mexican,134,4.5,
Jh6bSOaw0ftGh9ONiwr7nA,mexican,182,4.0,
ws2mNxUvDUxj509kTldSZQ,mexican,2,5.0,
yvva7IYpD6J7OfKlCdQrkw,mexican,107,4.5,
ECj6_ovNLQ3wbTxIDOmfwQ,mexican,22,4.0,
z6SKrIMATXU5JZ85D9ecuQ,mexican,19,4.5,
9qOUxAQD6Tasr9TVUlSvdg,mexican,119,3.0,
iw5iI-jFXnDZaeiGt4Weaw,mexican,37,4.5,
6eihmCzFJvolelWSW7-VPQ,mexican,26,4.5,
zupIzmhdcH0U6vJQQxDBiQ,mexican,226,4.0,
